Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment_x,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,Month,Profit Margin,Price,Delivery Time,Discount Category,Profit Without Discount,Sales Without Discount,Profit Margin Without Discount,Recency_x,Recency_y,Frequency,Monetary,R,F,M,RFM_Score,Segment_y
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,2016,11,16.000000000000004,130.98,3 days,No Discount,41.9136,523.92,16.000000000000004,469 days,338,3,1148.7800000000002,1,1,2,112,Hibernating
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,2016,11,30.0,243.98000000000002,3 days,No Discount,219.582,1463.88,30.0,469 days,338,3,1148.7800000000002,1,1,2,112,Hibernating
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,2015,10,-40.0,191.5155,7 days,High Discount (>20%),47.878874999999994,1915.155,5.0,782 days,29,6,2602.5755,4,3,3,433,Loyal
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,2015,10,11.25,11.184,7 days,Medium Discount,6.99,44.736,31.250000000000007,782 days,29,6,2602.5755,4,3,3,433,Loyal
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,2014,6,28.999999999999996,6.9799999999999995,5 days,No Discount,14.1694,97.72,28.999999999999996,1277 days,23,8,6255.351,5,4,5,545,Champions
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,2014,6,27.0,1.82,5 days,No Discount,1.9656,14.56,27.0,1277 days,23,8,6255.351,5,4,5,545,Champions
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,2014,6,10.0,151.192,5 days,Medium Discount,272.1456,1814.304,30.0,1277 days,23,8,6255.351,5,4,5,545,Champions
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,2014,6,31.249999999999993,6.168,5 days,Medium Discount,9.4833,37.008,51.24999999999999,1277 days,23,8,6255.351,5,4,5,545,Champions
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,2014,6,30.0,22.98,5 days,No Discount,34.47,229.8,30.0,1277 days,23,8,6255.351,5,4,5,545,Champions
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,2014,6,5.0,189.576,5 days,Medium Discount,426.54600000000005,3412.368,25.000000000000007,1277 days,23,8,6255.351,5,4,5,545,Champions
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,2014,6,7.500000000000001,227.856,5 days,Medium Discount,250.64160000000004,1822.848,27.500000000000004,1277 days,23,8,6255.351,5,4,5,545,Champions
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,2017,4,35.0,5.184,5 days,Medium Discount,8.5536,31.104,54.99999999999999,1077 days,259,4,1790.5120000000002,1,1,3,113,Hibernating
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,2016,12,32.49999999999999,135.992,5 days,Medium Discount,214.1874,815.952,52.5,717 days,390,7,4930.474,1,4,5,145,Can't Lose Them
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,2014,11,2.0,110.98,7 days,No Discount,13.3176,1331.76,2.0,1136 days,9,12,8646.934,5,5,5,555,Champions
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,2014,5,18.0,27.75,2 days,No Discount,9.99,111.0,18.0,1049 days,278,5,2582.898,1,2,3,123,Hibernating
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,2014,8,28.999999999999996,4.28,5 days,No Discount,2.4824,17.12,28.999999999999996,1019 days,202,5,1493.944,2,3,2,232,At Risk
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,2014,8,7.5,71.16,5 days,Medium Discount,58.706999999999994,426.96,27.499999999999996,1019 days,202,5,1493.944,2,3,2,232,At Risk
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,2014,8,32.5,5.68,5 days,Medium Discount,11.928,45.44,52.5,1019 days,202,5,1493.944,2,3,2,232,At Risk
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,2017,7,-1.4285714285714286,35.686,2 days,High Discount (>20%),20.392,142.744,28.57142857142857,1148 days,59,7,763.5459999999999,3,4,1,341,Needs Attention
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Emily Burns,Consumer,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,2015,9,23.0,348.21000000000004,5 days,No Discount,240.2649,2089.26,23.0,1235 days,100,10,2767.219,3,5,4,354,Needs Attention
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,2016,1,36.25000000000001,5.824,4 days,Medium Discount,6.5520000000000005,23.296,56.250000000000014,1060 days,217,8,684.1709999999999,2,4,1,241,At Risk
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,2016,1,13.0,30.189999999999998,4 days,No Discount,11.7741,181.14,13.0,1060 days,217,8,684.1709999999999,2,4,1,241,At Risk
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,2015,9,-54.0,440.48999999999995,4 days,High Discount (>20%),-123.33720000000017,6166.86,-4.000000000000005,1063 days,107,9,4737.486,2,5,5,255,Can't Lose Them
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,2015,9,-73.33333333333334,4.809,4 days,High Discount (>20%),-0.32060000000000066,19.236,-3.33333333333334,1063 days,107,9,4737.486,2,5,5,255,Can't Lose Them
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,2015,9,12.5,41.4,4 days,Medium Discount,40.365,248.4,32.5,1063 days,107,9,4737.486,2,5,5,255,Can't Lose Them
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,2015,9,33.75,1.632,4 days,Medium Discount,1.7544,6.528,53.75,1063 days,107,9,4737.486,2,5,5,255,Can't Lose Them
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,2015,9,11.249999999999998,14.384,4 days,Medium Discount,26.97,172.608,31.25,1063 days,107,9,4737.486,2,5,5,255,Can't Lose Them
